time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.769
2,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.769
3,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.769
4,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.647
5,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.647
6,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.715
7,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.715
8,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.715
9,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.704
10,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.704
11,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.704
12,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.666
13,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.666
14,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.666
15,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.658
16,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.658
17,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.658
18,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.713
19,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.713
20,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.713
21,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
22,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
23,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.684
24,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.684
25,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.684
26,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.681
27,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.681
28,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.681
29,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.647
30,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.647
31,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.647
32,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.667
33,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.667
34,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.667
35,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.711
36,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.711
37,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.711
38,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.676
39,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.676
40,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.676
41,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.728
42,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.728
43,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.686
44,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.686
45,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.686
46,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.716
47,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.716
48,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.716
49,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.666
50,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.666
51,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.666
52,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.683
53,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.683
54,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.683
55,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.716
56,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.716
57,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.716
58,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.725
59,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.725
60,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
61,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
62,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
63,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.752
64,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.752
65,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.752
66,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.727
67,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.727
68,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.727
69,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.674
70,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.674
71,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.674
72,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.708
73,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.708
74,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.708
75,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.664
76,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.664
77,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.708
78,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.708
79,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.708
80,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.759
81,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.759
82,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.759
83,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.678
84,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.678
85,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.678
86,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
87,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
88,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.695
89,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.725
90,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.725
91,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.725
92,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.675
93,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.675
94,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.704
95,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.704
96,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.704
97,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.675
98,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.675
99,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.675
100,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.723
101,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.723
102,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.723
103,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.696
104,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.696
105,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.696
106,3.039,0.000,0.000,0.000,0.000,0.000,0.000,25.648
