time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.299
2,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.299
3,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.331
4,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.331
5,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.331
6,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.323
7,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.323
8,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.323
9,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.281
10,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.281
11,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.281
12,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.335
13,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.335
14,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.298
15,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.298
16,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.298
17,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.356
18,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.356
19,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.356
20,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.354
21,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.354
22,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.354
23,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.320
24,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.320
25,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.320
26,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.359
27,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.359
28,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.359
29,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.334
30,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.334
31,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.344
32,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.344
33,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.344
34,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.323
35,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.323
36,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.323
37,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.356
38,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.356
39,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.356
40,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.317
41,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.317
42,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.317
43,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.324
44,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.324
45,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.324
46,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.292
47,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.292
48,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.318
49,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.318
50,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.318
51,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.327
52,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.327
53,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.327
54,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.316
55,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.316
56,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.316
57,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.325
58,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.325
59,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.325
60,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.315
61,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.315
62,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.315
63,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.300
64,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.300
65,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.300
66,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.328
67,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.328
68,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.312
69,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.312
70,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.312
71,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.377
72,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.377
73,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.377
74,3.769,0.000,0.000,0.000,0.000,0.000,0.000,34.308
